Frame,Loss
1,"tensor(4947.3745, grad_fn=<SumBackward0>)"
2,"tensor(4687.6387, grad_fn=<SumBackward0>)"
3,"tensor(4629.7124, grad_fn=<SumBackward0>)"
4,"tensor(4585.2988, grad_fn=<SumBackward0>)"
5,"tensor(4541.0527, grad_fn=<SumBackward0>)"
6,"tensor(4520.3965, grad_fn=<SumBackward0>)"
7,"tensor(4452.8057, grad_fn=<SumBackward0>)"
8,"tensor(4433.2031, grad_fn=<SumBackward0>)"
9,"tensor(4395.5029, grad_fn=<SumBackward0>)"
10,"tensor(4369.3140, grad_fn=<SumBackward0>)"
11,"tensor(4333.7124, grad_fn=<SumBackward0>)"
12,"tensor(4310.1719, grad_fn=<SumBackward0>)"
13,"tensor(4277.6216, grad_fn=<SumBackward0>)"
14,"tensor(4254.0332, grad_fn=<SumBackward0>)"
15,"tensor(4225.8223, grad_fn=<SumBackward0>)"
16,"tensor(4203.2637, grad_fn=<SumBackward0>)"
17,"tensor(4193.0527, grad_fn=<SumBackward0>)"
18,"tensor(4169.0132, grad_fn=<SumBackward0>)"
19,"tensor(4144.2900, grad_fn=<SumBackward0>)"
20,"tensor(4134.8179, grad_fn=<SumBackward0>)"
21,"tensor(4121.3135, grad_fn=<SumBackward0>)"
22,"tensor(4095.2527, grad_fn=<SumBackward0>)"
23,"tensor(4068.9814, grad_fn=<SumBackward0>)"
24,"tensor(4068.7585, grad_fn=<SumBackward0>)"
25,"tensor(4067.0828, grad_fn=<SumBackward0>)"
26,"tensor(4073.9927, grad_fn=<SumBackward0>)"
27,"tensor(4018.7466, grad_fn=<SumBackward0>)"
28,"tensor(4015.5803, grad_fn=<SumBackward0>)"
29,"tensor(3995.9424, grad_fn=<SumBackward0>)"
30,"tensor(3973.3130, grad_fn=<SumBackward0>)"
31,"tensor(3966.4792, grad_fn=<SumBackward0>)"
32,"tensor(3953.9829, grad_fn=<SumBackward0>)"
33,"tensor(3925.7549, grad_fn=<SumBackward0>)"
34,"tensor(3919.6101, grad_fn=<SumBackward0>)"
35,"tensor(3906.2100, grad_fn=<SumBackward0>)"
36,"tensor(3893.4451, grad_fn=<SumBackward0>)"
37,"tensor(3887.4595, grad_fn=<SumBackward0>)"
38,"tensor(3869.3589, grad_fn=<SumBackward0>)"
39,"tensor(3846.4409, grad_fn=<SumBackward0>)"
40,"tensor(3840.8062, grad_fn=<SumBackward0>)"
41,"tensor(3821.8962, grad_fn=<SumBackward0>)"
42,"tensor(3821.1809, grad_fn=<SumBackward0>)"
43,"tensor(3811.2773, grad_fn=<SumBackward0>)"
44,"tensor(3807.3523, grad_fn=<SumBackward0>)"
45,"tensor(3873.2930, grad_fn=<SumBackward0>)"
46,"tensor(3826.8438, grad_fn=<SumBackward0>)"
47,"tensor(3791.4639, grad_fn=<SumBackward0>)"
48,"tensor(3776.2351, grad_fn=<SumBackward0>)"
49,"tensor(3795.9741, grad_fn=<SumBackward0>)"
50,"tensor(3805.2383, grad_fn=<SumBackward0>)"
51,"tensor(3762.8188, grad_fn=<SumBackward0>)"
52,"tensor(3758.8984, grad_fn=<SumBackward0>)"
53,"tensor(3792.1099, grad_fn=<SumBackward0>)"
54,"tensor(3744.9075, grad_fn=<SumBackward0>)"
